,filename,title,incident_start_time,incident_detected_time,incident_end_time,severity_level,summary,incident_duration,time_to_detect,time_to_resolve,services,service_impact_type,components,component_root_cause,impact,user_impact_type,root_cause,category_root_cause,symptom,symptom_type
10,2021-04-06_partial_rack_codfw.wikitext,Partial Service Outage Due to Faulty Network Switch in Codfw Cluster,2021-04-06 17:00:00,2021-04-06 17:01:22,2021-04-06 18:18:15,Sev(3),"Around 17:00 UTC, a faulty network switch caused partial failure of one rack in the Codfw cluster, leading to reduced redundancy or capacity for some services. The hosts were unreachable for about 1 hour.",01:18:15,00:01:22,01:16:53,"Elastic search,Swift media storage,Edge cache,DNS","Search and Indexing, Media Storage and File Handling, Content Delivery Network (CDN) and Edge Cache, Other","nodes,nodes,nodes,nodes","Databases, Web Servers & Application Layers, Caching Servers, Networking Equipment","Elastic search: reduced redundancy; Swift media storage: no user impact; Edge cache: one node depooled, minimal user impact; DNS: one node unavailable, minimal user impact.","Partial Service Outage, Cache Issues, Network Connectivity Problems",A faulty network switch caused partial failure of one rack in the Codfw cluster.,"Network Failures, Hardware Failures",The issue was first detected by alerts indicating that multiple hosts were down with 100% packet loss. initial alert: [17:01:22] <icinga-wm> PROBLEM - Host cp2036 is DOWN: PING CRITICAL - Packet loss = 100%,Network Connectivity Problems
11,2022-03-27_api.wikitext,Incident with MediaWiki API requests and PHP-FPM workers,2022-03-27 14:36:00,2022-03-27 14:36:00,2022-03-28 12:39:00,Sev(2),"A template change in itwiki triggered transclusion updates to many pages, leading to thousands of requests to the API cluster and resulting in higher levels of failed or slow MediaWiki API requests for about 4 hours over two days.",22:03:00,00:00:00,22:03:00,"Media Services,App Services,Change Management,API Services","API and Application Servers, Caching and Proxy Services","PHP-FPM workers,API cluster,Transclusion updates","Web Servers & Application Layers, Cluster Management","For about 4 hours, in three segments of 1-2 hours each over two days, there were higher levels of failed or slow MediaWiki API requests.","Elevated Response Times and Latencies, Increased Error Rates, API Failures","A template change on itwiki caused Changeprop to issue numerous requests to the API cluster to reparse transcluding pages, overwhelming the system.","Configuration Errors, Capacity Overloads","The issue was first detected through multiple Icinga alerts indicating 'Not enough idle PHP-FPM workers for Mediawiki api_appserver at eqiad', with related errors such as critical thresholds being breached.","Appserver Issues, High CPU & Resource Utilization"
12,2022-03-10_MediaWiki_availability.wikitext,MediaWiki availability on all wikis for logged-in users / uncached content,2022-03-10 08:26:11,2022-03-10 08:24:00,2022-03-10 08:46:03,Sev(2),MediaWiki was unavailable on all wikis for logged-in users and for anonymous users trying to edit or access uncached content for 12 minutes.,00:19:52,23:57:49,00:22:03,MediaWiki,MediaWiki Core Services,"db1099,s8 section,API Gateway,API Gateway","Databases, Web Servers & Application Layers, Web Proxies","All wikis were unreachable for logged-in users and for anonymous users trying to edit or access uncached content. The issue occurred in two spikes: from 08:24 to 08:30 UTC, and from 08:39 to 08:45 UTC approximately.",Complete Service Outage,"A replica database in the s8 section (Wikidata), db1099, was rebooted for maintenance and reintroduced into production slowly while a file transfer was occurring. This additional load caused the host to become slow to respond to queries, leading to a cascade effect on other databases in the same section, ultimately causing the exhaustion of workers at the application layer.",Capacity Overloads,"The issue was first detected as slow or unavailable access to uncached render pages and read-write actions, impacting the application servers (MediaWiki) as shown on the RED dashboard.","Latency and Timeout Issues, Appserver Issues"
13,2020-06-25_caching-sessions.wikitext,Incident Report - Wikimedia,2020-06-01 00:00:00,2020-06-01 00:10:00,2020-06-01 01:00:00,Sev(2),Incident involved issues with Varnish configuration affecting Wikimedia services.,01:00:00,00:10:00,00:50:00,,Other,,Other,Users experienced unexpected behavior and potential data inconsistencies due to improper caching settings.,"Cache Issues, Data Corruption or Loss",Misconfiguration in the Varnish caching backend related to the 'beresp.ttl=0' setting.,Configuration Errors,"The issue was first detected through user reports documented in Phabricator tasks T257522, T256395, and T255156.",User Reported Problems
14,2021-09-06_Wikifeeds.wikitext,MediaWiki API and Wikifeeds Service Outage,2021-09-04 02:40:00,2021-09-06 17:32:00,2021-09-07 07:13:00,Sev(3),"A MediaWiki API outage on 2021-09-04 led to increased HTTP 503 errors from the Wikifeeds service. The issue arose due to a significant spike in end-user traffic, which degraded the service's performance.",76:33:00,62:52:00,13:41:00,"MediaWiki API,MediaWiki API",API and Application Servers,"Kubernetes pods,tls-proxy container,Restbase","Containers & Kubernetes, Web Proxies, Caching Servers","For 3 days, the Wikifeeds API failed about 1% of its requests (approximately 5 out of every 500 per second).",API Failures,"A significant increase in end-user traffic to the Wikifeeds service, exacerbated by an insufficient capacity to handle the load, led to the service returning numerous HTTP 503 and 504 errors.","Capacity Overloads, Unexpected Traffic Surges","The issue was first detected by a service-checker icinga alert indicating HTTP 504 errors for the Wikifeeds service, which triggered intermittently over the weekend and was noticed by an SRE on the following Monday.","Latency and Timeout Issues, Service Probes and Health Checks Failures"
15,2021-06-30_Ulsfo_traffic_surge.wikitext,Traffic Surge Impacted Network Port Capacity,2023-10-03 22:00:00,2023-10-03 22:00:00,2023-10-03 23:00:00,Sev(3),"A traffic surge caused the Ulsfo cluster's network port to reach its capacity, leading to a mitigated issue by 23:00 UTC.",01:00:00,00:00:00,01:00:00,San Francisco DC,Other,"Ulsfo cluster,Wikimedia DNS,Wikimedia DNS",Networking Equipment,"For up to an hour, a portion of requests may have received a slower response from regions served by the San Francisco DC, including New Zealand and parts of North America.",Elevated Response Times and Latencies,A traffic surge started to fill up the capacity of a network port in the Ulsfo cluster.,"Unexpected Traffic Surges, Capacity Overloads",The issue was first detected as a traffic surge affecting the network port capacity in the Ulsfo cluster after 22:00 UTC.,Network Connectivity Problems
16,2021-04-15_appserver_latency.wikitext,Increased Latency and Error Rates for MediaWiki Cache Misses,2023-10-05 07:31:00,2023-10-05 07:31:00,2023-10-05 08:16:00,Sev(2),"From 07:31 to 08:16 UTC, there was increased latency and error rates for some MediaWiki cache misses and authenticated requests, affecting API users and bots on commons.wikimedia.org.",00:45:00,00:00:00,00:45:00,"MediaWiki,API","MediaWiki Core Services, API and Application Servers","cache,databases,API webserver","Caching Servers, Databases, Web Servers & Application Layers","API request latency for some requests went up by 5 seconds, and error rates increased up to 25%. Regular users and other wikis were also affected later through cross-wiki features involving Commons.","Elevated Response Times and Latencies, Increased Error Rates",The issue was caused by a bot increasing load on the commonswiki databases and consuming API webserver resources.,"Unexpected Traffic Surges, Capacity Overloads",The issue was first detected through increased latency and error rates for MediaWiki cache misses and authenticated requests.,"Latency and Timeout Issues, Cache Layer Anomalies"
17,2019-09-10_toolforge-kubernetes.wikitext,Kubernetes API Server Failure Due to CA Certificate Mismatch,2023-05-01 18:30:00,2023-05-01 18:45:00,2023-05-02 01:43:00,Sev(2),"Kubernetes API server failed to start due to a CA certificate mismatch with the etcd servers, leading to the collapse of many Kubernetes managed services.",07:13:00,00:15:00,06:58:00,Toolforge Kubernetes API,Cloud Services and Virtual Private Servers (VPS),"Kubernetes API server,puppet,CA certificates,etcd servers,Kubernetes API server","Cluster Management, Code Deployment & Version Control, Other, Databases, Web Proxies","Toolforge users could not launch or manage tools using the Kubernetes backend. Kube2proxy failures took all Kubernetes web services offline, though individual containers remained unaffected.","Partial Service Outage, API Failures","A CA certificate mismatch between the Kubernetes API server and the etcd servers, precipitated by puppet changes and further complicated by a service restart.",Configuration Errors,The issue was first detected through an alert from icinga on the check against http://checker.tools.wmflabs.org/k8s/nodes/ready indicating that all k8s nodes were unhealthy.,"Service Probes and Health Checks Failures, Network Connectivity Problems"
18,2024-04-17_mw-on-k8s_eqiad_outage.wikitext,CoreDNS Overload Incident During MediaWiki Deployment,2024-04-17 09:18:00,2024-04-17 09:10:00,2024-04-17 09:44:00,Sev(2),"The deployment of the mw-mcrouter service caused a significant increase in DNS requests to CoreDNS, overwhelming the pods and leading to an outage for MediaWiki pods.",00:26:00,23:52:00,00:34:00,"mediawiki,coredns,HAProxy","MediaWiki Core Services, Caching and Proxy Services, Other","mw-on-k8s,mw-on-k8s,mw-on-k8s,mw-on-k8s,scap,logstash","Containers & Kubernetes, Web Proxies, Web Servers & Application Layers, Web Servers & Application Layers, Code Deployment & Version Control, Monitoring & Telemetry","Non 5XX requests (text+upload) dropped from 138K rps to 120K-130K rps for 20 minutes, causing MediaWiki pods to never become ready and rolling back the scap deployment.","Partial Service Outage, Increased Error Rates","The change increased the number of DNS requests towards CoreDNS from 40k req/s to 110k req/s, overwhelming the CoreDNS pods and causing them to crash continuously due to insufficient memory.",Capacity Overloads,"The issue was first detected by antoine who observed a higher level of MediaWiki related events in Logstash, followed by alerts for PHP-FPM workers and high latency.","Appserver Issues, Latency and Timeout Issues, High CPU & Resource Utilization"
19,2022-09-15_sessionstore_quorum_issues.wikitext,Kask Split Brain Issue with SessionStore Cassandra Node,2022-09-15 12:25:00,2022-09-15 12:31:00,2022-09-15 12:38:00,Sev(2),"During routine maintenance on a sessionstore Cassandra node, the Kask service developed a split brain issue, leading to disruptions in session-related functions on the wikis.",00:13:00,00:06:00,00:07:00,"central login,central login",MediaWiki Core Services,"SessionStore Cassandra node,Kask service",Databases,Roughly 125 login errors per minute and 215 session loss errors.,Increased Error Rates,"An outstanding bug in gocql caused Kask to have an inconsistent view of cluster health, leading to quorum failures.",Software Bugs,"The issue was first human-detected and announced by Tamzin in #wikimedia-operations, followed by critical alerts from icinga-wm indicating sessionstore and MediaWiki errors.","Database Errors, Service Probes and Health Checks Failures, User Reported Problems"
20,2020-02-04_app_server_latency.wikitext,WANObjectCache Degradation and Increased CPU Load Impact on Babel,2020-02-04 16:01:00,2020-02-04 16:03:31,2020-02-04 16:12:00,Sev(4),"A drop in WANObjectCache hit ratio for Babel keys caused increased cache misses, leading to high CPU load on app servers and delayed other traffic from 16:03 to 16:12 UTC on 2020-02-04.",00:11:00,00:02:31,00:08:29,"MediaWiki,WANObjectCache,Babel,Kartotherian,Varnish","MediaWiki Core Services, Caching and Proxy Services, Other, Other, Caching and Proxy Services","memcached,API server,API server","Caching Servers, Web Servers & Application Layers","About 12 million varnish-text requests were dropped or delayed in a ten-minute period, spanning all five caching data centers; this represents about 20% of traffic in that window.","Partial Service Outage, Elevated Response Times and Latencies, Cache Issues","Increased cache misses led to more API requests over HTTPS, causing high CPU load on app servers and delaying other traffic.","Capacity Overloads, Unexpected Traffic Surges","Detected by Icinga CRITICAL alert for 'phpfpm_up reduced availability' at 16:03 UTC, followed by a series of paging alerts related to socket timeouts.","Latency and Timeout Issues, Service Probes and Health Checks Failures"
21,2022-02-01_ulsfo_network.wikitext,Connectivity Loss Due to Firewall Change at ulsfo POP,2022-01-31 16:05:00,2022-01-31 16:06:00,2022-01-31 16:08:00,Sev(2),A firewall change caused the ulsfo POP to lose connectivity to other POPs and core sites for 3 minutes.,00:03:00,00:01:00,00:02:00,"contribution service,page display service",Other,"cr3-ulsfo,cr3-ulsfo,cr3-ulsfo,OSPF sessions,BGP peers",Networking Equipment,"For 3 minutes, clients served by the ulsfo POP were not able to contribute or display un-cached pages, resulting in 8000 errors per minute (HTTP 5xx).","Partial Service Outage, Increased Error Rates, Network Connectivity Problems","The firewall change incorrectly restricted BFD to BGP peers, causing OSPF sessions to be torn down.",Configuration Errors,"Icinga alerted about connectivity issues to ulsfo at 16:06, indicating the outage.",Network Connectivity Problems
22,2022-08-10_cassandra_disk_space.wikitext,Cassandra Hosts Disk Space Incident,2022-08-10 12:55:00,2022-08-10 12:55:00,2022-08-10 18:22:00,Sev(2),A planned administrative shutdown of some redundant Cassandra hosts led to other hosts running out of disk space due to accumulating log files. The issue was resolved by bringing the hosts back online ahead of schedule.,05:27:00,00:00:00,05:27:00,Cassandra,Database and Data Analytics,"Hinted-handoff,Logs,Auxiliary data volume",Other,"During planned downtime, other hosts ran out of space due to accumulating logs. No external impact.",Other,"The Hinted-handoff writes resulted in unexpectedly high utilization of storage volumes on hosts located in the eqiad datacenter, due to limited disk space allocated for handling these logs.","Capacity Overloads, Configuration Errors",Free space became critically low on a volume housing auxiliary data on many Cassandra hosts. This was detected during the planned power maintenance event in the Codfw datacenter.,Other
23,2021-04-03_mailman2_attachments.wikitext,Incident Report: Exposure of Mailing List Attachments,2021-04-03 15:18:00,2021-04-04 11:56:00,2021-04-13 17:00:00,Sev(3),A vulnerability in Mailman2 allowed for public access to attachments from non-archived mailing lists due to lack of proper web authentication and flawed archiving behavior. This issue was mitigated by purging old attachments and migrating to Mailman3.,241:42:00,20:38:00,221:04:00,"Mailman2,Mailman2",Other,"Backup Configuration,Backup Configuration,Backup Configuration,Web Authentication",Other,Any person who sent an email to a list that was not supposed to be archived could have had their message contents publicly accessible and leaked.,Security Incidents,Mailman2 lacks proper web authentication and retained attachments of non-archived lists due to its design to support digest functionality.,"Security Misconfigurations, Software Bugs",The issue was discovered by Amir while preparing for the Mailman3 migration and was brought to attention due to the presence of public-facing URLs for these attachments.,Security Vulnerabilities
24,2022-12-09_api_appserver_worker_starvation.wikitext,Increased mediawiki logging led to eventgate-analytics congestion,2022-12-09 15:04:13,2022-12-09 15:04:13,2022-12-09 16:36:17,Sev(2),"Increased MediaWiki logging led to eventgate-analytics congestion, starving the api_appservers of idle workers.",01:32:04,00:00:00,01:32:04,"MediaWiki,eventgate,api_appserver,eventgate","MediaWiki Core Services, Database and Data Analytics, API and Application Servers, Database and Data Analytics","PHP-FPM workers,PHP-FPM workers,logstash,envoy telemetry,helmfile deployment,helmfile deployment","Monitoring & Telemetry, Web Servers & Application Layers, Monitoring & Telemetry, Monitoring & Telemetry, Containers & Kubernetes, Code Deployment & Version Control",No user-facing impact.,Other,"Increased MediaWiki logging caused eventgate-analytics congestion, which resulted in the starvation of idle PHP-FPM workers in api_appservers.",Capacity Overloads,Detected through monitoring of api_appserver idle starvation with alerts from icinga-wm indicating that some MediaWiki servers were running out of idle PHP-FPM workers.,"Appserver Issues, High CPU & Resource Utilization"
25,2023-01-09_API_errors_-_db1143.wikitext,Elevated 5xx and API errors on appservers,2023-01-09 21:04:00,2023-01-09 21:02:00,2023-01-09 21:14:00,Sev(2),"An incident occurred on January 9, 2023, causing elevated 5xx errors and API issues on Wikidata for approximately 10 minutes.",00:10:00,23:58:00,00:12:00,API appservers,API and Application Servers,"API errors,API errors",Web Servers & Application Layers,Users experienced elevated 5xx errors and were unable to get suggestions on Wikidata.,"Partial Service Outage, Increased Error Rates","A database server in cluster S4 was overloaded due to a large number of queries, which led to elevated 5xx errors and API issues.",Capacity Overloads,"The issue was first detected through alerts on IRC and VictorOps, notifying of 'High average GET latency on API appservers' and other related alerts.",Latency and Timeout Issues
26,2019-12-10_updateCategoryCounts.wikitext,Common Wiki Database Replicas Lag Incident,2019-12-10 22:26:00,2019-12-10 22:32:36,2019-12-10 22:39:00,Sev(2),"On 2019-12-10, mainly between 22:26 and 22:39 UTC, Common wiki database replicas lagged behind, causing slowdown, returning stale results, errors, and incorrect category counts.",00:13:00,00:06:36,00:06:24,"Commons,testwiki,group 0,group 0,group 0",MediaWiki Core Services,"General:Services,Category Services,Special Services","Databases, Web Servers & Application Layers",Users experienced issues on Commons with articles being removed from Category:11 for a few minutes. Other wikis encountered incorrect category counts during specified periods.,Data Corruption or Loss,"An incorrect SQL query missing quotes around the number 11 led to a slow query that did not use an index, updating all categories starting with 11 instead of just one.","Database Issues, Configuration Errors","The issue was first detected on IRC, where a user reported DB lock errors for Special:UploadWizard on Commons. There is an existing alert for lag, but it only triggers after 300 seconds for 10 checks.","Database Errors, User Reported Problems"
27,2022-09-09_Elastic_Autocomplete_Missing.wikitext,Wikipedia Autocomplete Search Results Issue,2022-09-09 00:18:00,2022-09-09 01:00:00,2022-09-09 08:10:00,Sev(2),"For 4-8 hours, Wikipedia autocomplete search results were often weird and unhelpful due to changes related to the Elasticsearch 7 upgrade.",07:52:00,00:42:00,07:10:00,Wikipedia,Other,"Search Platform,Search Platform,Search Platform",Other,Users experienced weird and unhelpful search results when using Wikipedia's autocomplete feature.,"Partial Service Outage, Cache Issues","An upgrade from Elasticsearch 6 to Elasticsearch 7 caused the autocomplete caches to fail, which wasn't detected due to insufficient monitoring.","Software Bugs, Configuration Errors","The issue was first detected when Wikipedia users reported 'weird and unhelpful search results,' specifically with regards to autocomplete, on the Wikipedia:Village pump (technical) page.","User Reported Problems, Cache Layer Anomalies"
28,2021-01-16_appserver_latency.wikitext,Incident Report - T272215,2021-01-23 18:22:00,2021-01-23 18:34:00,2021-01-23 19:45:00,Sev(2),Restricted details available at the specified link.,01:23:00,00:12:00,01:11:00,,Other,,Other,Details restricted. See https://phabricator.wikimedia.org/T272215,Other,Details restricted. See https://phabricator.wikimedia.org/T272215,Other,Details restricted. See https://phabricator.wikimedia.org/T272215,Other
29,2021-09-01_partial_parsoid_outage.wikitext,Parse2007 Server Fatal Error Incident,2021-09-01 02:05:00,2021-09-01 03:54:00,2021-09-01 12:20:00,Sev(3),"At 02:05 UTC, the parse2007 server in Codfw started to respond with fatal errors, likely due to a php-opcache corruption. The server was restarted at 11:20 UTC, which resolved the issue.",10:15:00,01:49:00,08:26:00,"MediaWiki,MediaWiki","MediaWiki Core Services, API and Application Servers","parse2007 server,php-fpm,php-fpm",Web Servers & Application Layers,"For 9 hours, 10% of submissions to Parsoid to parse or save wiki pages were failing on all wikis.","Partial Service Outage, Increased Error Rates, API Failures","Likely php-opcache corruption, given that the source code in question had not changed recently and is not known to be defined or referenced in an unusual manner.",Software Bugs,"Detected through logs indicating 'parse2007: Cannot declare class XWikimediaDebug in XWikimediaDebug.php', affecting about 10% of POST requests. Additionally, detected by human reporting an error.","User Reported Problems, Appserver Issues"
30,2022-12-12_wdqs_codfw_brief_outage.wikitext,WDQS Service Interruption Due to Thread Pool Exhaustion,2022-12-12 20:14:17,2022-12-12 20:13:18,2022-12-12 20:30:00,Sev(2),"A large influx in requests led to excessive thread pool usage from codfw blazegraph backends, which triggered a known bug causing deadlock for about 15 minutes.",00:15:43,23:59:01,00:16:42,"wdqs-ssl:443,PyBal,wdqs-ssl:443","Wikidata Query Service, Caching and Proxy Services","lvs2009,wdqs2001.codfw.wmnet,wdqs2001.codfw.wmnet,wdqs2001.codfw.wmnet,wdqs2001.codfw.wmnet","Load Balancers, Databases","For about 15 minutes, wdqs queries routed to codfw failed.","Partial Service Outage, Network Connectivity Problems",Excessive thread pool usage from codfw blazegraph backends triggering a known bug in Blazegraph causing improper thread management and deadlock.,Software Bugs,"The issue was first detected by pybal monitoring of WDQS, with alerts such as 'Service wdqs-ssl:443 has failed probes' and 'PROBLEM - PyBal backends health check on lvs2009 is CRITICAL: PYBAL CRITICAL - CRITICAL - wdqs-heavy-queries_8888'.",Service Probes and Health Checks Failures
